id,language,domain,question,gold_answer,gold_passage_text,source_citation,draft_model,lint_flags,decision,corrected_question,corrected_answer,annotator_notes
ar-wiki-1181-0-q0,ar,wikipedia_general,ما هو الموقع الجغرافي للقرطاج بالنسبة لمدينة تونس؟,تقع قرطاج قرب مدينة تونس في الجمهورية التونسية.,"قرطاج تقع قرب مدينة تونس في الجمهورية التونسية. في الشّمال الشّرقي للجمهورية على بعد 15 كلم من العاصمة فوق ربوة ارتفاعها تقريبا 57 م ويمتد شريطها الساحلي على حوالي 3 كلم، ويحدها البحر الأبيض المتوسط شرقا وبلدية سيدي أبي سعيد شمالا وبلدية المرسى غربا وبلدية الكرم جنوبا. مساحة المنطقة 640 هكتارا ومساحة المناطق الأثرية 407 هكتار تقريبا 63,58% من المساحة الإجمالية. ويختلف مناخها المتوسّطي عن مناخ العاصمة، بلطف شتائه وبرودة صيفه. وبمقتضى الأمر رقم 1246 لسنة 1985 صنف موقع قرطاج ضمن قائمة التراث العالمي التي وضعتها اليونسكو. وبصفتها مدينة سياحية يزورها ما يقارب مليون سائح سنويا. عدد السكان 15,922","https://ar.wikipedia.org/?curid=1181 (Wikipedia, CC BY-SA, article id 1181)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1181-0-q1,ar,wikipedia_general,ما هي مساحة المنطقة والأثرية في قرطاج؟,مساحة المنطقة 640 هكتارا ومساحة المناطق الأثرية تقارب 407 هكتار.,"قرطاج تقع قرب مدينة تونس في الجمهورية التونسية. في الشّمال الشّرقي للجمهورية على بعد 15 كلم من العاصمة فوق ربوة ارتفاعها تقريبا 57 م ويمتد شريطها الساحلي على حوالي 3 كلم، ويحدها البحر الأبيض المتوسط شرقا وبلدية سيدي أبي سعيد شمالا وبلدية المرسى غربا وبلدية الكرم جنوبا. مساحة المنطقة 640 هكتارا ومساحة المناطق الأثرية 407 هكتار تقريبا 63,58% من المساحة الإجمالية. ويختلف مناخها المتوسّطي عن مناخ العاصمة، بلطف شتائه وبرودة صيفه. وبمقتضى الأمر رقم 1246 لسنة 1985 صنف موقع قرطاج ضمن قائمة التراث العالمي التي وضعتها اليونسكو. وبصفتها مدينة سياحية يزورها ما يقارب مليون سائح سنويا. عدد السكان 15,922","https://ar.wikipedia.org/?curid=1181 (Wikipedia, CC BY-SA, article id 1181)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1181-1-q0,ar,wikipedia_general,في أي عام أسست الأميرة فينيقية عليسة قرطاج بناءً على الروايات التاريخية؟,أسست الأميرة قرطاج عام 814 ق م.,"أسست الأميرة الفينيقية عليسة (أليسا أو أليسار) قرطاج عام 814 ق م.، حسب رواية المؤرخين القدماء. وجاءت الأميرة هاربة من أخيها مع أصحابها من مدينة صور بلبنان، وسموا المدينة 15px 15px 15px 15px 15px 15px 15px «قَرْت حَدَشْت» بمعنى «المدينة الجديدة» (من الفينيقية: قَرْت أي مدينة أو قرية، وحَدَشْت أي حديثة)، فأصبح الاسم «قرطاج» عن طريق النطق اللاتيني. وكانوا يعبدون خاصة «ملقرت»، واسمه يعني «ملك المدينة».
 [[ملف:Dido purchases Land for the Foundation of Carthage.jpg|تصغير|ديدون تؤسس قرطاج]]","https://ar.wikipedia.org/?curid=1181 (Wikipedia, CC BY-SA, article id 1181)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1181-1-q1,ar,wikipedia_general,ما هي المدينة التي كانت هاربًا إليها الأميرة من خيولها، وكيف تحول اسمها اللاتيني إلى قرطاج؟,كانت المدينة اسمها «قَرْت حَدَشْت» (المدينة الجديدة) وهي بلدة لبنانية، وأصبح الاسم قرطاجًا عند الترجمة إلى اللاتيني بسبب طريقة نطقه.,"أسست الأميرة الفينيقية عليسة (أليسا أو أليسار) قرطاج عام 814 ق م.، حسب رواية المؤرخين القدماء. وجاءت الأميرة هاربة من أخيها مع أصحابها من مدينة صور بلبنان، وسموا المدينة 15px 15px 15px 15px 15px 15px 15px «قَرْت حَدَشْت» بمعنى «المدينة الجديدة» (من الفينيقية: قَرْت أي مدينة أو قرية، وحَدَشْت أي حديثة)، فأصبح الاسم «قرطاج» عن طريق النطق اللاتيني. وكانوا يعبدون خاصة «ملقرت»، واسمه يعني «ملك المدينة».
 [[ملف:Dido purchases Land for the Foundation of Carthage.jpg|تصغير|ديدون تؤسس قرطاج]]","https://ar.wikipedia.org/?curid=1181 (Wikipedia, CC BY-SA, article id 1181)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),edit,,"الإجابة تحتوي على عبارة ""وهي بلدة لبنانية"" والمقصود في النص أن الأميرة جاءت من مدينة صور بلبنان وتأسست قرطاج في تونس. يجب تعديل الإجابة لتكون أدق وتفصل النطق اللاتيني لقرطاج",
ar-wiki-1181-2-q0,ar,wikipedia_general,في أي فترة زمنية تم بناؤها مرة أخرى مدينة قرطاج بعد اندلاع الحروب بين الرومان والبربر؟,في عهد أغسطس (إمبراطور) في أواخر القرن الأوّل ق.م.,لمّا ألحقت قرطاج بالإمبراطورية الرومانية، أعيد بناؤها في عهد أغسطس (إمبراطور) في أواخر القرن الأوّل ق.م، فزوّدت بما تمتاز به مدينة رومانيّة كبيرة من بنى تحتيّة حضريّة وبنايات عموميّة دينيّة ومدنيّة ومساكن فخمة. وغدت قرطاج عاصمة إداريّة وثقافيّة وفنّية لمقاطعة أفريكا، فعاشت فترة من الازدهار الكبير وبلغت درجة عالية من الترف وشهدت حركة إبداعيّة ثقافيّة وفنيّة قويّة، قبل أن يصيبها التقهقر الذي أصاب الإمبراطورية الرومانية عند أفول نجمها سنة 235 م وتعرّضت للإضطرابات وعمت الفوضى قرطاج.,"https://ar.wikipedia.org/?curid=1181 (Wikipedia, CC BY-SA, article id 1181)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1181-2-q1,ar,wikipedia_general,تعتبر مدينة قرطاج عاصمة إدارية وثقافية وفنية لمقاطعة أفريكا، وأصبحت عاصمتها لمدة多长时间؟,تُذكر في النص كمعجزة، حيث شهدت فترة من الازدهار الكبير وبلغت درجة عالية من الترف، قبل أن تتأثر بالتدهور الفادح بعد سقوط الإمبراطورية.,لمّا ألحقت قرطاج بالإمبراطورية الرومانية، أعيد بناؤها في عهد أغسطس (إمبراطور) في أواخر القرن الأوّل ق.م، فزوّدت بما تمتاز به مدينة رومانيّة كبيرة من بنى تحتيّة حضريّة وبنايات عموميّة دينيّة ومدنيّة ومساكن فخمة. وغدت قرطاج عاصمة إداريّة وثقافيّة وفنّية لمقاطعة أفريكا، فعاشت فترة من الازدهار الكبير وبلغت درجة عالية من الترف وشهدت حركة إبداعيّة ثقافيّة وفنيّة قويّة، قبل أن يصيبها التقهقر الذي أصاب الإمبراطورية الرومانية عند أفول نجمها سنة 235 م وتعرّضت للإضطرابات وعمت الفوضى قرطاج.,"https://ar.wikipedia.org/?curid=1181 (Wikipedia, CC BY-SA, article id 1181)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1185-0-q0,ar,wikipedia_general,كم هي عدد السنفور المذكور في الجملة الأولى؟,عدد صغير جداً أو عدد غير محدد بشكل دقيق.,السنافر (جمع سنفور) هي شخصيات خيالية صغيرة الحجم، زرقاء اللون، وتعيش في الغابة، ابتكرها الرسام البلجيكي بيير كوليفورد المعروف باسم بييو (). أُلفت حول السنافر الكثير من أفلام الرسوم المتحركة لتعرض في التلفزيون.,"https://ar.wikipedia.org/?curid=1185 (Wikipedia, CC BY-SA, article id 1185)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),edit,,شخصيات خيالية كثر (لم يذكر النص رقماً محدداً).,
ar-wiki-1185-0-q1,ar,wikipedia_general,من هو الرسام الذي ابتكر السنفور؟,بيير كوليفورد، المعروف باسم بييو.,السنافر (جمع سنفور) هي شخصيات خيالية صغيرة الحجم، زرقاء اللون، وتعيش في الغابة، ابتكرها الرسام البلجيكي بيير كوليفورد المعروف باسم بييو (). أُلفت حول السنافر الكثير من أفلام الرسوم المتحركة لتعرض في التلفزيون.,"https://ar.wikipedia.org/?curid=1185 (Wikipedia, CC BY-SA, article id 1185)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1185-1-q0,ar,wikipedia_general,ما هي أسماء الشخصيات المذكورة في عائلة السنافر؟,الشخصيات المذكورة في عائلة السنافر تشمل بابا سنفور، سنفور الحالم، سنفور القوي، سنفور المفكر، سنفور الأكول، سنفور الغضبان، سنفور الكسول، سنفور الشاعر، سنفور الرسام، سنفور المازح، سنفور الموسيقي العازف، سنفور العبقري، سنفور المغرور، سنفور المزارع، سنفور المغامر، سنفورة الطفل، وسنفورة الجميلة.,"الشخصيات
تمثل عائلة السنافر الكثير من الشخصيات مختلفة الطباع وهم كثر فهناك بابا سنفور وسنفور الحالم وسنفور القوي وسنفور المفكر (الذي يرتدي نظارة) وسنفور الأكول وسنفور الغضبان وسنفور الكسول وسنفور الشاعر وسنفور الرسام وسنفور المازح وسنفور الموسيقي العازف وسنفور العبقري وسنفور المغرور وسنفور المزارع وسنفور المغامر وسنفور الطفل وسنفورة الجميلة.","https://ar.wikipedia.org/?curid=1185 (Wikipedia, CC BY-SA, article id 1185)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1185-1-q1,ar,wikipedia_general,كيف يختلف شخصيات سنفور الحالم و سنفور القوي من حيث التسميات؟,يختلف سنفور الحالم عن سنفور القوي فقط في أن سنفور الحالم يرتدي نظارة بينما لا يُذكر عن سنفور القوي وجود نظارة.,"الشخصيات
تمثل عائلة السنافر الكثير من الشخصيات مختلفة الطباع وهم كثر فهناك بابا سنفور وسنفور الحالم وسنفور القوي وسنفور المفكر (الذي يرتدي نظارة) وسنفور الأكول وسنفور الغضبان وسنفور الكسول وسنفور الشاعر وسنفور الرسام وسنفور المازح وسنفور الموسيقي العازف وسنفور العبقري وسنفور المغرور وسنفور المزارع وسنفور المغامر وسنفور الطفل وسنفورة الجميلة.","https://ar.wikipedia.org/?curid=1185 (Wikipedia, CC BY-SA, article id 1185)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),reject,,,
ar-wiki-1185-2-q0,ar,wikipedia_general,من هم الشخصيات التي يشار إليها باسم الشرشبيل؟,الشرشبيل هو عدو كريه وهو شرشبيل الشرير وقطه الأحمر المشاكس «هرهور».,للسنافر عدو كريه هو شرشبيل الشرير وقطه الأحمر المشاكس «هرهور» اللذان يعيشان في القلعة المهجورة. بهذه الشخصيات المحببة يتم عكس قيم مميزة للأطفال بصورة خاصة ولعموم المشاهدين من مختلف الأعمار والثقافات.,"https://ar.wikipedia.org/?curid=1185 (Wikipedia, CC BY-SA, article id 1185)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1185-2-q1,ar,wikipedia_general,في أي مكان يعيش شرشبيل وقطه الأحمر المشاكس؟,يهميشان في القلعة المهجورة.,للسنافر عدو كريه هو شرشبيل الشرير وقطه الأحمر المشاكس «هرهور» اللذان يعيشان في القلعة المهجورة. بهذه الشخصيات المحببة يتم عكس قيم مميزة للأطفال بصورة خاصة ولعموم المشاهدين من مختلف الأعمار والثقافات.,"https://ar.wikipedia.org/?curid=1185 (Wikipedia, CC BY-SA, article id 1185)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1201-0-q0,ar,wikipedia_general,ما هو اسم شخصية تُعرف في النص باسم 'أبو الطيب المتنبي'؟,هو أحمد شوقي,"- أحمد شوقي.
 - أحمد شوقي.
 - أبو الطيب المتنبي.
 - أبو الطيب المتنبي.
 - أحمد شوقي.
 - أحمد شوقي.
- أحمد شوقي.
 - حافظ إبراهيم.
 - الإمام الشافعي.
 - إيليا أبو ماضي.","https://ar.wikipedia.org/?curid=1201 (Wikipedia, CC BY-SA, article id 1201)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),reject,,,
ar-wiki-1201-0-q1,ar,wikipedia_general,من هي الشخصية التي تُسمى 'إمام الشافعي'؟,هذا السؤال غير قابل للإجابة لأن النص لا يحدد اسم الشخصية أو أي تفاصيل أخرى تخص شخصية 'إمام الشافعي',"- أحمد شوقي.
 - أحمد شوقي.
 - أبو الطيب المتنبي.
 - أبو الطيب المتنبي.
 - أحمد شوقي.
 - أحمد شوقي.
- أحمد شوقي.
 - حافظ إبراهيم.
 - الإمام الشافعي.
 - إيليا أبو ماضي.","https://ar.wikipedia.org/?curid=1201 (Wikipedia, CC BY-SA, article id 1201)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1201-1-q1,ar,wikipedia_general,ما هي الأقسام التي يمكن أن تستغرق قصيدة؟,يمكن أن تستغرق القصيدة سبعة أبيات أو أكثر من ذلك، لأن عدد التفعيلات هو أقلّها ستة أبيات وقيل سبعة وما دون ذلك.,"القصيدة
هي مجموعة أبيات من بحر واحد متفقة في الحرف الأخير بالفصحى وفي الحرف الأخير وما قبله بحرف أو حرفين أو يزيد في الشعر النبطي، وفي عدد التفعيلات (أي الأجزاء الّتي يتكون منها البيت الشعري) وأقلّها ستة أبيات وقيل سبعة وما دون ذلك يسمّى (قطعه).","https://ar.wikipedia.org/?curid=1201 (Wikipedia, CC BY-SA, article id 1201)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1201-2-q0,ar,wikipedia_general,ما هو المعنى الذي يُطلقه الشعر النبطي على الشعر، وكيفية تعبيره عنها في القصة العربية؟,يعني الشعر النبطي 'الطرّق'، ويُعرف به في القصة بأنه 'الطرق'.,"البحر
هو النظام الإيقاعي للتفعيلات المكررة بوجه شعري. وفي الشعر النبطي يعرف بالطرق أمّا الطاروق فيعني اللحن لديهم ويطلق تجاوزا على البيت الكامل وبحره ولحنه.","https://ar.wikipedia.org/?curid=1201 (Wikipedia, CC BY-SA, article id 1201)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1201-2-q1,ar,wikipedia_general,في القصة العربية، أي كلمة تُستخدم للوصف الخاص بالشعر (الطريقة)، وكيفية ارتباط هذه الكلمة بمعاني أخرى في القصة؟,تُستخدم كلمة 'الطرق' للوصف الخاص بالشعر، وتُعرف في القصة باللفظ المعطى للشعر (الطريقة) ويُطلق عليها تجاوزاً (بمعنى تجاوزاً عليه).,"البحر
هو النظام الإيقاعي للتفعيلات المكررة بوجه شعري. وفي الشعر النبطي يعرف بالطرق أمّا الطاروق فيعني اللحن لديهم ويطلق تجاوزا على البيت الكامل وبحره ولحنه.","https://ar.wikipedia.org/?curid=1201 (Wikipedia, CC BY-SA, article id 1201)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1203-0-q0,ar,wikipedia_general,من هو الذي طور نظام تصنيف مكتبة الكونغرس، وما هي الجهة التي عملت معاً في تطويره؟,طورته مكتبة الكونغرس (مكتبة الولايات المتحدة الأمريكية)، وكان ذلك خلال عمل جميس هانسون (رئيس قسم الفهرسة) مع تشارلز مارشال.,تصنيف مكتبة الكونغرس، هو نظام تصنيف مكتبي طورته مكتبة الكونغرس في الولايات المتحدة الأمريكية؛ إذ يمكن استخدامه لترتيب الكتب على الرفوف في المكتبة. تستخدم المكتبات الكبيرة للأبحاث والأكاديميات هذا النظام بشكل أساس، بينما تستخدم معظم المكتبات العامة والمكتبات الأكاديمية نظام تصنيف ديوي العشري. طور النظام جميس هانسون (رئيس قسم الفهرسة)، بمساعدة تشارلز مارشال، في عام 1897، أثناء عملهما في مكتبة الكونغرس، وقد صُمم خصيصا لمجموعة مكتبة الكونغرس ليحل محل نظام الموقع الثابت الذي طوره توماس جيفرسون.,"https://ar.wikipedia.org/?curid=1203 (Wikipedia, CC BY-SA, article id 1203)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
ar-wiki-1203-0-q1,ar,wikipedia_general,لماذا تم تطوير نظام تصنيف مكتبة الكونغرس، وما هي النتيجة النهائية لهذا التطوير؟,تم تطوير النظام ليحل محل نظام الموقع الثابت الذي طوره توماس جيفرسون.,تصنيف مكتبة الكونغرس، هو نظام تصنيف مكتبي طورته مكتبة الكونغرس في الولايات المتحدة الأمريكية؛ إذ يمكن استخدامه لترتيب الكتب على الرفوف في المكتبة. تستخدم المكتبات الكبيرة للأبحاث والأكاديميات هذا النظام بشكل أساس، بينما تستخدم معظم المكتبات العامة والمكتبات الأكاديمية نظام تصنيف ديوي العشري. طور النظام جميس هانسون (رئيس قسم الفهرسة)، بمساعدة تشارلز مارشال، في عام 1897، أثناء عملهما في مكتبة الكونغرس، وقد صُمم خصيصا لمجموعة مكتبة الكونغرس ليحل محل نظام الموقع الثابت الذي طوره توماس جيفرسون.,"https://ar.wikipedia.org/?curid=1203 (Wikipedia, CC BY-SA, article id 1203)",qwen3.5:2b,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
