id,language,domain,question,gold_answer,gold_passage_text,source_citation,draft_model,lint_flags,decision,corrected_question,corrected_answer,annotator_notes
quran-1:2-ar-q0,ar,quran,إلى من يُوجه الثناء في هذا النص؟,الله,الحمد لله رب العالمين,"Quran 1:2 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-1:5-ar-q0,ar,quran,ما هما الفعلان المذكوران في النص؟,نعبد ونستعين,إياك نعبد وإياك نستعين,"Quran 1:5 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-1:7-ar-q0,ar,quran,إلى أي مجموعة يوجه النص صراطهم؟,إلى الذين أنعمت عليهم,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,"Quran 1:7 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-1:7-ar-q1,ar,quran,من هم الذين لا يسلكون هذا الصراط؟,المغضوب عليهم والذين ضلوا,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,"Quran 1:7 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:10-ar-q0,ar,quran,ماذا فعل الله في قلوبهم؟,زادهم الله مرضاً,في قلوبهم مرض فزادهم الله مرضا ۖ ولهم عذاب أليم بما كانوا يكذبون,"Quran 2:10 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:16-ar-q1,ar,quran,ما النتيجة التي ذكرت في النص عن تجارتهم؟,لم يربحوا تجارتهم وما كانوا مهتدين,أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين,"Quran 2:16 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:17-ar-q1,ar,quran,ماذا فعل الله بنورهم بعد أن تضاءت ما حوله؟,ذهب بنورهم وتركهم في ظلمات لا يبصرون,مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون,"Quran 2:17 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),edit,ماذا فعل الله بنورهم بعد أن أضاءت ما حوله؟,,
quran-2:18-ar-q0,ar,quran,من هو الشخص الذي يُشار إليه في النص؟,العمي فهم,صم بكم عمي فهم لا يرجعون,"Quran 2:18 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),edit,,المنافقين,
quran-2:2-ar-q0,ar,quran,ما موقف النص من وجود ريب في الكتاب؟,لا ريب فيه,ذلك الكتاب لا ريب ۛ فيه ۛ هدى للمتقين,"Quran 2:2 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
quran-2:20-ar-q0,ar,quran,ماذا يفعلون عندما يضيء لهم البرق؟,يمشون فيه,يكاد البرق يخطف أبصارهم ۖ كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ۚ ولو شاء الله لذهب بسمعهم وأبصارهم ۚ إن الله على كل شيء قدير,"Quran 2:20 (Arabic, Tanzil.net Uthmani/Simple text, CC BY 3.0)",,ANSWER_NOT_VERBATIM_IN_PASSAGE (may be a fine paraphrase -- check by hand),approve,,,
